Nota;CPF_CNPJ_Tomador;Nome_Tomador;Data_Emissao;Codigo_Item_Servico;Descricao_Servicos;Valor_da_Nota;Valor_Deducoes;Base_de_Calculo;Aliquota;Valor_ISS;Cancelada;CPF_CNPJ_Prestador;Tipo_Tributacao;Substituicao_Simples;Numero_Guia
99000001;47601662000180;FUSION GOLD LTDA;2025-11-28;14.05;SERVICOSDEUSINAGEM;600.00;0.00;600.00;5.00;30.00;NAO;63595152000102;TRIBUTADO NO MUNICIPIO;;141007
99000002;49006500000120;PEIXOTO EVENTOS LTDA;2025-11-28;14.05;SERVICOSDEUSINAGEM;600.00;0.00;600.00;5.00;30.00;NAO;63595152000102;TRIBUTADO NO MUNICIPIO;;141007
99000003;18816049000182;ALT & RAILTECO RAIL S/A;2025-11-28;14.05;SERVICOSDEUSINAGEM;1122000.00;0.00;1122000.00;5.00;56100.00;NAO;63595152000102;TRIBUTADO NO MUNICIPIO;;141007
99000004;18816049000182;ALT & RAILTECO RAIL S/A;2025-12-03;14.05;SERVICOSCONFORMECONTRATO;6000.00;0.00;6000.00;5.00;300.00;NAO;63595152000102;TRIBUTADO NO MUNICIPIO;;141009
99000006;03621867001710;SERVICO SOCIAL DO COMERCIO - SESC ADM REGIONAL DO RIO DE JANEIRO;2025-12-09;06.04;REALIZACAODEOFICINADETAEKWONDO+CAPACITACAOTECINCIADEINSTRUTORESSESCNITEROIIRPJ/CSLLconformeLein9.532/97,artigo15RIR/2018,art184eINRFBn1.700/2017,artigo13Pis:Lein10.637/2002,artigo8Lein10.833/2003,artigo10INRFBI;17500.00;0.00;17500.00;5.00;875.00;NAO;59088580000163;TRIBUTADO NO MUNICIPIO;;141028
99001098;62472070000108;CONSORCIO POSSEBON/UPE/CPL - EPC 13;2025-12-02;07.09;Coleta,remocaoedestinacaofinalderesiduosnoperiodode11/11/25a25/11/25,conformeBM001/25-02Contrato27102025-02-BoaventuraItaborai-RJ;17381.28;0.00;17381.28;5.00;869.06;NAO;03429430000383;RETIDO NO MUNICIPIO;;140970
